#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Jan 27 17:23:04 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       AdderSubtractor32bit_map.ncd
#OUTPUT FILE:      AdderSubtractor32bit_pad.csv
#PART TYPE:        xc7z010
#SPEED GRADE:      -1
#PACKAGE:          clg400
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
U17,S<4>,IOB,IO_L9N_T1_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U18,S<9>,IOB,IO_L12P_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U19,S<10>,IOB,IO_L12N_T1_MRCC_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
U20,S<16>,IOB,IO_L15N_T2_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V1,,IOPAD,PS_DDR_DQ24_502,UNUSED,,,,,,,,,,,
V2,,IOPAD,PS_DDR_DQ30_502,UNUSED,,,,,,,,,,,
V3,,IOPAD,PS_DDR_DQ31_502,UNUSED,,,,,,,,,,,
V4,,,VCCO_DDR_502,,,,,,,,any******,,,,
V5,,,NC,,,,,,,,,,,,
V6,,,NC,,,,,,,,,,,,
V7,,,NC,,,,,,,,,,,,
V8,,,NC,,,,,,,,,,,,
V9,,,GND,,,,,,,,,,,,
V10,,,NC,,,,,,,,,,,,
V11,,,NC,,,,,,,,,,,,
V12,B<25>,IOB,IO_L4P_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V13,B<24>,IOB,IO_L3N_T0_DQS_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
V14,,,VCCO_34,,,34,,,,,1.80,,,,
V15,S<5>,IOB,IO_L10P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V16,S<21>,IOB,IO_L18P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V17,S<27>,IOB,IO_L21P_T3_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V18,S<28>,IOB,IO_L21N_T3_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
V19,,,GND,,,,,,,,,,,,
V20,S<17>,IOB,IO_L16P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
W1,,IOPAD,PS_DDR_DQ26_502,UNUSED,,,,,,,,,,,
W2,,,GND,,,,,,,,,,,,
W3,,IOPAD,PS_DDR_DQ29_502,UNUSED,,,,,,,,,,,
W4,,IOPAD,PS_DDR_DQS_N3_502,UNUSED,,,,,,,,,,,
W5,,IOPAD,PS_DDR_DQS_P3_502,UNUSED,,,,,,,,,,,
W6,,,NC,,,,,,,,,,,,
W7,,,VCCO_13,,,13,,,,,any******,,,,
W8,,,NC,,,,,,,,,,,,
W9,,,NC,,,,,,,,,,,,
W10,,,NC,,,,,,,,,,,,
W11,,,NC,,,,,,,,,,,,
W12,,,GND,,,,,,,,,,,,
W13,B<26>,IOB,IO_L4N_T0_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
W14,S<1>,IOB,IO_L8P_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
W15,S<6>,IOB,IO_L10N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
W16,S<22>,IOB,IO_L18N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
W17,,,VCCO_34,,,34,,,,,1.80,,,,
W18,S<29>,IOB,IO_L22P_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
W19,S<30>,IOB,IO_L22N_T3_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
W20,S<18>,IOB,IO_L16N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
Y1,,IOPAD,PS_DDR_DM3_502,UNUSED,,,,,,,,,,,
Y2,,IOPAD,PS_DDR_DQ28_502,UNUSED,,,,,,,,,,,
Y3,,IOPAD,PS_DDR_DQ25_502,UNUSED,,,,,,,,,,,
Y4,,IOPAD,PS_DDR_DQ27_502,UNUSED,,,,,,,,,,,
Y5,,,GND,,,,,,,,,,,,
Y6,,,NC,,,,,,,,,,,,
Y7,,,NC,,,,,,,,,,,,
Y8,,,NC,,,,,,,,,,,,
Y9,,,NC,,,,,,,,,,,,
Y10,,,VCCO_13,,,13,,,,,any******,,,,
Y11,,,NC,,,,,,,,,,,,
Y12,,,NC,,,,,,,,,,,,
Y13,,,NC,,,,,,,,,,,,
Y14,S<2>,IOB,IO_L8N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
Y15,,,GND,,,,,,,,,,,,
Y16,B<31>,IOB,IO_L7P_T1_34,INPUT,LVCMOS18*,34,,,,NONE,,UNLOCATED,NO,NONE,
Y17,S<0>,IOB,IO_L7N_T1_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
Y18,S<19>,IOB,IO_L17P_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
Y19,S<20>,IOB,IO_L17N_T2_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
Y20,,,VCCO_34,,,34,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
